,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,Id
0,854,0,1,3,0,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,1,2,4,0,4,2,12,13,4,3,0,2,2,6,2.0,5,2,5,1,1710,1,1,0,5,1,2,3,0,8450,4,65.0,3,0,5,3,196.0,1,1,0,1,5,61,4,6,2,0,1,1,4,8,0,856.0,0,2003,2003,2008,1
1,0,0,1,3,0,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,1,1,4,0,4,3,8,8,4,5,1,1,2,6,2.0,5,2,5,1,1262,0,1,0,2,1,3,3,0,9600,2,80.0,3,0,0,3,0.0,2,1,0,4,24,0,7,5,2,0,1,1,4,8,0,1262.0,298,1976,1976,2007,2
2,866,0,1,3,0,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,1,2,4,0,4,2,12,13,4,5,1,2,2,6,2.0,5,2,5,1,1786,1,1,0,5,1,2,3,0,11250,4,68.0,0,0,5,3,162.0,1,1,0,8,5,42,4,6,2,0,1,1,4,8,0,920.0,0,2001,2002,2008,3
3,756,0,1,3,0,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,1,2,4,272,4,3,13,15,4,2,1,0,1,6,3.0,5,3,5,5,1717,0,1,2,5,1,2,3,0,9550,0,60.0,0,0,6,3,0.0,2,1,0,1,6,35,4,6,2,0,1,1,0,8,0,756.0,0,1915,1970,2006,4
4,1053,0,1,4,0,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,1,2,4,0,4,2,12,13,4,5,1,2,2,6,3.0,5,2,5,1,2198,1,1,0,5,1,2,3,0,14260,2,84.0,0,0,5,3,350.0,1,1,0,11,15,84,4,7,2,0,1,1,4,8,0,1145.0,192,2000,2000,2008,5
5,566,320,1,1,0,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,1,2,4,0,4,3,12,13,2,3,0,5,1,6,2.0,5,3,5,1,1362,1,1,0,0,1,3,3,0,14115,4,85.0,0,0,4,3,0.0,2,3,700,9,11,30,4,4,2,0,1,1,4,8,0,796.0,40,1993,1995,2009,6
6,0,0,1,3,0,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,1,2,4,0,4,2,12,13,4,2,1,2,2,6,2.0,5,2,5,1,1694,0,1,0,2,1,2,3,0,10084,4,75.0,3,0,0,3,186.0,3,1,0,7,21,57,4,7,2,0,1,1,4,8,0,1686.0,255,2004,2005,2007,7
7,983,0,1,3,0,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,1,4,4,228,4,3,6,6,4,5,2,1,2,6,2.0,5,2,5,1,2090,1,1,0,5,1,3,3,0,10382,0,80.0,0,0,5,3,240.0,3,3,350,10,14,204,5,6,2,0,1,1,4,8,0,1107.0,235,1973,1973,2009,8
8,752,0,1,2,0,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,1,0,1,205,4,3,3,15,4,5,2,0,2,2,2.0,5,3,1,5,1774,0,1,2,0,2,3,3,0,6120,4,51.0,3,0,4,4,0.0,2,1,0,3,17,0,4,6,2,0,1,1,0,8,0,952.0,90,1931,1950,2008,9
9,0,0,1,2,1,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,1,0,4,0,4,3,8,8,4,5,2,0,1,6,1.0,5,2,2,1,1077,0,1,0,1,2,3,3,0,7420,0,50.0,3,0,14,3,0.0,2,1,0,0,3,4,5,4,2,0,1,1,4,8,0,991.0,0,1939,1950,2008,10
